book,genre,store,date,sale
"Nineteen Eighty-Four",Novel,Aalborg,2005-08-05,50
"Calvin and Hobbes One",Comic,Aalborg,2005-08-05,25
"The Silver Spoon",Cookbook,Aalborg,2005-08-14,5
"The Silver Spoon",Cookbook,Odense,2005-09-01,7
"Mr. Frank, the Underground Mail-Agent",Parody,Slagelse,2005-02-16,84
"The Eye of the Forest",Fantasy,Vordingborg,2005-09-21,9
Jhegaala,"Speculative fiction",Kolding,2005-08-13,72
Crabwalk,Novel,"Tønder",2005-11-04,41
"Mystery of the Samurai Sword",Mystery,"Sønderborg",2005-08-16,23
"The Monk","Gothic fiction",Thisted,2005-07-31,14
Scuppers,"Children's literature",Viborg,2005-07-04,87
"Freddy Goes Camping","Comic novel","Sønderborg",2005-10-28,77
"Last Full Measure","Science Fiction",Vordingborg,2005-12-28,78
"My Family and Other Animals",Drama,"Køge",2005-11-14,32
"Phoenix And Ashes","Speculative fiction",Ribe,2005-02-02,6
"Down and Out in Paris and London","Autobiographical novel",Kalundborg,2005-07-04,13
Transition,Novel,Roskilde,2005-04-26,8
"An Unkindness of Ravens","Crime Fiction",Haderslev,2005-09-28,25
"Have His Carcase",Mystery,Aalborg,2005-04-22,99
"Jane's Island","Children's literature",Aabenraa,2005-12-25,34
"Innocent Graves","Crime Fiction",Aabenraa,2005-11-16,10
"Fire Time","Science Fiction",Skive,2005-04-15,66
"The Outlaw of Torn","Science Fiction",Holstebro,2005-05-17,84
"Crisis on Centaurus","Science Fiction","Nørresundby",2005-08-13,62
"A Wind in the Door","Science Fiction",Nakskov,2005-11-29,5
"Demon in My View","Vampire fiction",Randers,2005-02-15,61
"Click, Clack, Quackity-Quack: An Alphabetical Adventure","Children's literature",Gentofte,2005-06-24,49
"The Legacy of Heorot","Science Fiction",Copenhagen,2005-03-18,13
Chosen,Fantasy,"Hillerød",2005-11-18,69
"Nazi Literature in the Americas",Novel,Randers,2005-09-29,41
"Limit of Vision","Science Fiction",Frederikshavn,2005-10-23,28
"Hitman: Enemy Within","Science Fiction",Viborg,2005-03-11,32
"Hatshepsut: Daughter of Amun","Historical novel","Hillerød",2005-08-08,79
Eggs,"Children's literature",Maribo,2005-12-17,6
"The Gift of Asher Lev",Novel,Skive,2005-02-04,77
"The Blithedale Romance","Roman à clef",Horsens,2005-03-29,56
"Troy: Fall of Kings",Fantasy,Esbjerg,2005-02-04,29
"The Autobiography of Alice B. Toklas",Autobiography,Aabenraa,2005-01-24,32
"The Grand Sophy","Romance novel",Svendborg,2005-10-16,94
"Star Light","Science Fiction",Haderslev,2005-10-09,40
Holiday,Novel,"Hjørring",2005-10-06,91
"A Maze of Death","Science Fiction",Aabenraa,2005-11-24,5
"Crewel Lye: A Caustic Yarn","Speculative fiction",Roskilde,2005-09-21,8
"From the Files of the Time Rangers","Science fantasy",Roskilde,2005-08-16,33
"The Stranger","Children's literature","Sorø",2005-07-02,31
"The Big Country","Western fiction",Kolding,2005-02-28,52
"The House of the Sleeping Beauties",Novella,Skagen,2005-08-17,82
Durandal,Fantasy,Nakskov,2005-03-27,88
Dragonsword,"Speculative fiction",Thisted,2005-05-26,88
"A Fan's Notes",Novel,"Hjørring",2005-09-09,23
Pyramids,"Science Fiction",Esbjerg,2005-08-22,81
"Necropolis: City of the Dead",Thriller,Thisted,2005-09-08,99
"Guy Domville",Play,"Helsingør",2005-12-30,52
"The Magician's Apprentice",Fantasy,Herning,2005-03-26,25
Lungbarrow,"Speculative fiction",Esbjerg,2005-02-09,26
"The Other Queen",Novel,Copenhagen,2005-05-21,66
"The Technicolor Time Machine","Science Fiction",Copenhagen,2005-01-10,19
"Gay Neck, the Story of a Pigeon","Children's literature",Nakskov,2005-01-02,99
Redburn,Fiction,Fredericia,2005-11-29,66
"The Black Box","Crime Fiction",Maribo,2005-02-08,90
"The Skeleton in the Clock",Mystery,Skagen,2005-06-01,34
"A Spot of Bother",Fiction,Randers,2005-10-27,91
"Trapped in the USSR","Children's literature","Nørresundby",2005-08-02,68
"Demons Don't Dream","Speculative fiction","Hillerød",2005-09-27,79
"The Collector",Thriller,"Tønder",2005-10-02,86
Betrayal,"Science Fiction",Skagen,2005-03-20,36
"The Princess Diaries, Volume VI: Princess in Training","Young adult literature","Tønder",2005-08-19,52
Blackwater,Thriller,"Hillerød",2005-02-27,24
Kiss,"Young adult literature",Aalborg,2005-05-12,94
"CHERUB: The Fall",Thriller,Fredericia,2005-03-23,100
"The Well of Loneliness","Künstlerroman",Gentofte,2005-11-29,78
"The Red Box",Mystery,"Hjørring",2005-02-10,8
"Begums Thugs And White Mughals",History,Gentofte,2005-01-24,72
"The Lost Fleet: Dauntless","Science Fiction",Randers,2005-10-29,37
"Let My Babies Go! A Passover Story","Children's literature",Silkeborg,2005-10-08,36
"The Approaching Storm","Science Fiction","Holbæk",2005-05-26,50
"The Interpreter",Novel,Odense,2005-09-08,81
Pellucidar,"Science Fiction",Odense,2005-11-08,70
"The Cat Who Knew a Cardinal",Mystery,Kalundborg,2005-02-02,77
"The Old Tobacco Shop: A True Account of What Befell a Little Boy in Search of Adventure","Children's literature","Sorø",2005-09-15,33
"Master of the Moor","Crime Fiction","Holbæk",2005-07-03,88
"The Anatomy Lesson",Fiction,Nakskov,2005-03-01,72
"City of the Chasch","Science Fiction",Skagen,2005-03-28,68
"Une Page d'amour",Novel,Odense,2005-07-05,42
"The Mad Man",Fiction,"Tønder",2005-05-08,93
"Cryptid Hunters",Fantasy,"Sønderborg",2005-12-02,61
"The Forest King",Fantasy,"Helsingør",2005-05-30,17
"Anne Frank and Me","Speculative fiction",Kalundborg,2005-02-01,34
"The Dark Design","Science Fiction",Thisted,2005-06-07,88
"The Secret Garden","Science Fiction","Hjørring",2005-10-25,40
"Linda Condon",Fiction,"Hjørring",2005-11-05,68
"Captain Underpants and the Preposterous Plight of the Purple Potty People","Children's literature",Nyborg,2005-06-27,12
"Rules of Engagement","Science Fiction",Nakskov,2005-12-02,24
"Swords and Ice Magic",Fantasy,Vordingborg,2005-02-12,56
Filth,"Crime Fiction",Esbjerg,2005-08-26,30
"Stalking the Unicorn","Speculative fiction","Tønder",2005-06-30,84
"The Autobiography of Malcolm X",Autobiography,"Køge",2005-12-02,37
"The Sweetheart of the Templar From the Valley of Rephaim","Historical novel",Herning,2005-10-03,66
"The Death of Artemio Cruz",Novel,Haderslev,2005-09-23,90
"Rant: The Oral Biography of Buster Casey",Satire,Skagen,2005-11-30,23
Marked,"Vampire fiction",Odense,2005-10-07,72
"Dark Desire","Speculative fiction","Køge",2005-03-01,26
"The Last Voyage of Columbus",History,Aalborg,2005-04-02,69
Evernight,"Gothic fiction",Aarhus,2005-12-26,6
"Howards End",Fiction,Holstebro,2005-09-01,76
"Wizard's First Rule","Speculative fiction",Viborg,2005-03-20,63
"Dies the Fire","Alternate history",Aarhus,2005-01-01,87
